EO #,Title,URL,Date Signed,Date Published,FR Citation,FR Doc Number
EO 14208,Ending Procurement and Forced Use of Paper Straws,https://www.federalregister.gov/documents/2025/02/14/2025-02735/ending-procurement-and-forced-use-of-paper-straws,2025-02-10,2025-02-14,90 FR 9585,2025-02735
EO 14207,Eliminating the Federal Executive Institute,https://www.federalregister.gov/documents/2025/02/14/2025-02734/eliminating-the-federal-executive-institute,2025-02-10,2025-02-14,90 FR 9583,2025-02734
EO 14206,Protecting Second Amendment Rights,https://www.federalregister.gov/documents/2025/02/12/2025-02636/protecting-second-amendment-rights,2025-02-07,2025-02-12,90 FR 9503,2025-02636
EO 14205,Establishment of the White House Faith Office,https://www.federalregister.gov/documents/2025/02/12/2025-02635/establishment-of-the-white-house-faith-office,2025-02-07,2025-02-12,90 FR 9499,2025-02635
EO 14204,Addressing Egregious Actions of the Republic of South Africa,https://www.federalregister.gov/documents/2025/02/12/2025-02630/addressing-egregious-actions-of-the-republic-of-south-africa,2025-02-07,2025-02-12,90 FR 9497,2025-02630
EO 14203,Imposing Sanctions on the International Criminal Court,https://www.federalregister.gov/documents/2025/02/12/2025-02612/imposing-sanctions-on-the-international-criminal-court,2025-02-06,2025-02-12,90 FR 9369,2025-02612
EO 14202,Eradicating Anti-Christian Bias,https://www.federalregister.gov/documents/2025/02/12/2025-02611/eradicating-anti-christian-bias,2025-02-06,2025-02-12,90 FR 9365,2025-02611
EO 14201,Keeping Men Out of Women's Sports,https://www.federalregister.gov/documents/2025/02/11/2025-02513/keeping-men-out-of-womens-sports,2025-02-05,2025-02-11,90 FR 9279,2025-02513
EO 14200,Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China,https://www.federalregister.gov/documents/2025/02/11/2025-02512/amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china,2025-02-05,2025-02-11,90 FR 9277,2025-02512
EO 14199,Withdrawing the United States From and Ending Funding to Certain United Nations Organizations and Reviewing United States Support to All International Organizations,https://www.federalregister.gov/documents/2025/02/10/2025-02504/withdrawing-the-united-states-from-and-ending-funding-to-certain-united-nations-organizations-and,2025-02-04,2025-02-10,90 FR 9275,2025-02504
EO 14198,Progress on the Situation at Our Southern Border,https://www.federalregister.gov/documents/2025/02/10/2025-02479/progress-on-the-situation-at-our-southern-border,2025-02-03,2025-02-10,90 FR 9185,2025-02479
EO 14197,Progress on the Situation at Our Northern Border,https://www.federalregister.gov/documents/2025/02/10/2025-02478/progress-on-the-situation-at-our-northern-border,2025-02-03,2025-02-10,90 FR 9183,2025-02478
EO 14196,A Plan for Establishing a United States Sovereign Wealth Fund,https://www.federalregister.gov/documents/2025/02/10/2025-02477/a-plan-for-establishing-a-united-states-sovereign-wealth-fund,2025-02-03,2025-02-10,90 FR 9181,2025-02477
EO 14195,Imposing Duties To Address the Synthetic Opioid Supply Chain in the People's Republic of China,https://www.federalregister.gov/documents/2025/02/07/2025-02408/imposing-duties-to-address-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china,2025-02-01,2025-02-07,90 FR 9121,2025-02408
EO 14194,Imposing Duties To Address the Situation at Our Southern Border,https://www.federalregister.gov/documents/2025/02/07/2025-02407/imposing-duties-to-address-the-situation-at-our-southern-border,2025-02-01,2025-02-07,90 FR 9117,2025-02407
EO 14193,Imposing Duties To Address the Flow of Illicit Drugs Across Our Northern Border,https://www.federalregister.gov/documents/2025/02/07/2025-02406/imposing-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border,2025-02-01,2025-02-07,90 FR 9113,2025-02406
EO 14192,Unleashing Prosperity Through Deregulation,https://www.federalregister.gov/documents/2025/02/06/2025-02345/unleashing-prosperity-through-deregulation,2025-01-31,2025-02-06,90 FR 9065,2025-02345
EO 14191,Expanding Educational Freedom and Opportunity for Families,https://www.federalregister.gov/documents/2025/02/03/2025-02233/expanding-educational-freedom-and-opportunity-for-families,2025-01-29,2025-02-03,90 FR 8859,2025-02233
